# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1353
#@/user_id	b984ef3a-97ec-45f9-89c8-d237fbe7ae79
a 	啊	c=8 d=0.908954 t=1353
jing 	經	c=0 d=0.022091 t=1353
jiu 	就	c=9 d=1.90484 t=1353
jiu dian 	九點	c=1 d=0.0199405 t=1353
jiu dian 	酒店	c=1 d=0.0198411 t=1353
jiu gong ge 	九宮格	c=2 d=0.916391 t=1353
jiu shi 	就是	c=3 d=0.744638 t=1353
jiu xing 	就行	c=1 d=0.511709 t=1353
jiu you 	就有	c=1 d=0.351692 t=1353
jiu zou 	就走	c=1 d=0.677057 t=1353
ju hao 	句號	c=1 d=0.494109 t=1353
ju ran 	居然	c=1 d=0.0531307 t=1353
jue de 	覺得	c=1 d=0.0968105 t=1353
ka 	卡	c=1 d=0.0611149 t=1353
kai qi 	開啓	c=2 d=0.687289 t=1353
kai shi 	開始	c=4 d=1.05795 t=1353
kai yuan 	開源	c=1 d=0.0987662 t=1353
kan bing 	看病	c=1 d=0.0692522 t=1353
kan dao 	看到	c=0 d=0.0194952 t=1353
kan dao le 	看到了	c=1 d=0.19593 t=1353
kan kan 	看看	c=3 d=0.630907 t=1353
kan qi lai 	看起來	c=1 d=0.484325 t=1353
ke neng 	可能	c=2 d=0.177857 t=1353
ke yi 	可以	c=10 d=1.92788 t=1353
ke yi le 	可以了	c=1 d=0.694196 t=1353
kong zhi 	控制	c=1 d=0.588605 t=1353
kuai 	快	c=1 d=0.175521 t=1353
kuai le 	快了	c=3 d=0.0860637 t=1353
kuai le 	快樂	c=1 d=0.0202419 t=1353
kuai su 	快速	c=1 d=0.951229 t=1353
kuo zhan 	擴展	c=2 d=1.28809 t=1353
lai 	來	c=2 d=0.942651 t=1353
lai chao 	來潮	c=1 d=0.0488012 t=1353
lan de 	懶得	c=1 d=0.178173 t=1353
lao shi 	老師	c=0 d=0.00478349 t=1353
le 	了	c=19 d=3.14142 t=1353
lei da 	雷達	c=1 d=0.625002 t=1353
li 	梨	c=2 d=0.0529014 t=1353
li 	裏	c=1 d=0.946485 t=1353
li mian 	裏面	c=5 d=1.13444 t=1353
li yun 	李雲	c=0 d=0.0110803 t=1353
li yun feng 	李雲峯	c=1 d=0.111359 t=1353
li zi 	栗子	c=1 d=0.0261214 t=1353
lian jie 	連接	c=4 d=1.19882 t=1353
lian wang 	聯網	c=1 d=0.343008 t=1353
liang 	亮	c=1 d=0.0236356 t=1353
liang ge 	兩個	c=1 d=0.492225 t=1353
liu lan 	瀏覽	c=1 d=0.0596059 t=1353
liu lan qi 	瀏覽器	c=1 d=0.0584257 t=1353
lou 	樓	c=0 d=0.00665368 t=1353
lu 	露	c=1 d=0.514273 t=1353
lu deng 	路燈	c=2 d=0.697676 t=1353
lu jing 	路徑	c=1 d=0.12938 t=1353
lu kou 	路口	c=2 d=0.129484 t=1353
ma 	嗎	c=8 d=2.54382 t=1353
ma 	媽	c=1 d=0.0265162 t=1353
ma 	馬	c=1 d=0.0267827 t=1353
ma ma 	媽媽	c=1 d=0.0269169 t=1353
ma pan 	碼盤	c=1 d=0.0623495 t=1353
mai 	買	c=1 d=0.501576 t=1353
man 	慢	c=1 d=0.0243554 t=1353
mei 	沒	c=5 d=0.797807 t=1353
mei you 	沒有	c=4 d=0.902912 t=1353
mei zuo 	沒做	c=1 d=0.0502874 t=1353
meng 	夢	c=0 d=0.0045275 t=1353
mi 	迷	c=1 d=0.644036 t=1353
mian fei 	免費	c=2 d=0.202573 t=1353
mie 	滅	c=1 d=0.0235177 t=1353
ming 	名	c=1 d=0.247833 t=1353
ming ling 	命令	c=3 d=1.54669 t=1353
ming zi 	名字	c=1 d=0.123687 t=1353
mo 	墨	c=2 d=0.423437 t=1353
mo 	莫	c=1 d=0.722527 t=1353
mo ni qi 	模擬器	c=1 d=0.08291 t=1353
mu lu 	目錄	c=2 d=1.29275 t=1353
mu qin 	母親	c=1 d=0.0270518 t=1353
na 	那	c=4 d=0.702979 t=1353
na ge 	哪個	c=1 d=0.406569 t=1353
na ge 	那個	c=2 d=0.457593 t=1353
na jiu 	那就	c=2 d=0.538648 t=1353
na liang ge 	那兩個	c=1 d=0.26054 t=1353
na me 	那麼	c=1 d=0.514273 t=1353
na suan le 	那算了	c=1 d=0.0293049 t=1353
nai 	奶	c=1 d=0.0274607 t=1353
nai nai 	奶奶	c=1 d=0.0273237 t=1353
nao tou 	撓頭	c=1 d=0.394553 t=1353
ne 	呢	c=2 d=0.265803 t=1353
nei bu 	內部	c=1 d=0.625002 t=1353
nei cun 	內存	c=1 d=0.204948 t=1353
nei qian 	內嵌	c=1 d=0.474716 t=1353
neng fou 	能否	c=1 d=0.0167392 t=1353
neng yong 	能用	c=1 d=0.509157 t=1353
neng you 	能有	c=1 d=0.0166557 t=1353
ni 	你	c=9 d=3.4433 t=1353
ni 	呢	c=-1 d=0 t=1353
ni 	尼	c=-1 d=0 t=1353
ni hao 	你好	c=-1 d=0 t=1353
ni jin tian 	你今天	c=1 d=0.612626 t=1353
ni na 	你那	c=1 d=0.591555 t=1353
ni ta ma 	你他媽	c=1 d=0.0544757 t=1353
ni tian jia 	你添加	c=1 d=0.551563 t=1353
ni you 	你有	c=1 d=0.904837 t=1353
niu 	牛	c=1 d=0.301195 t=1353
niu bi 	牛逼	c=3 d=0.299692 t=1353
nong 	弄	c=1 d=0.0845849 t=1353
nu 	怒	c=1 d=0.0884781 t=1353
pai lie 	排列	c=1 d=0.394553 t=1353
pao 	泡	c=2 d=1.3746 t=1353
pao mian 	泡麪	c=2 d=1.35785 t=1353
pei zhi 	配置	c=9 d=1.88519 t=1353
pei zhi wen jian 	配置文件	c=1 d=0.0156858 t=1353
pi fu 	皮膚	c=3 d=1.25429 t=1353
pin yin 	拼音	c=1 d=0.447088 t=1353
ping shi 	平時	c=1 d=0.0338776 t=1353
ping tai 	平臺	c=2 d=0.336217 t=1353
po jie 	破解	c=4 d=0.216336 t=1353
qi dong 	啓動	c=1 d=0.414783 t=1353
qi guai 	奇怪	c=1 d=0.371577 t=1353
qi lai 	起來	c=1 d=0.0216013 t=1353
qi ta 	其他	c=1 d=0.782705 t=1353
qian mian 	前面	c=1 d=0.0639279 t=1353
qing kong 	清空	c=1 d=0.442639 t=1353
qing qiu 	請求	c=1 d=0.390628 t=1353
qu 	去	c=2 d=0.565968 t=1353
qu dong 	驅動	c=1 d=0.279431 t=1353
qu gan ma 	去幹嘛	c=1 d=0.621885 t=1353
qu xiao 	取消	c=1 d=0.0448245 t=1353
quan 	全	c=2 d=0.177313 t=1353
quan bu 	全部	c=1 d=0.737123 t=1353
que ren 	確認	c=10 d=2.33944 t=1353
